 condition,  answer,  response,  correct,  RT,  N/T  disimilarity,N/N  disimilarity,  x1,  y1,  x2,y2,  orientation 
 vs,  yes,  yes,  1,  621.361,  0.50,  0.00,  0.70,  0.25,  -0.70,  0.25,  0 
 vs,  yes,  yes,  1,  1804.115,  0.50,  0.30,  0.60,  -0.40,  -0.60,  -0.10,  0 
 vs,  yes,  yes,  1,  731.892,  0.90,  0.20,  0.50,  0.36,  -0.70,  0.56,  0 
 vs,  yes,  yes,  1,  1190.710,  0.50,  0.00,  0.70,  0.25,  -0.70,  0.25,  0 
 vs,  yes,  yes,  1,  1407.092,  0.40,  0.40,  0.50,  -0.33,  -0.60,  0.07,  0 
 vs,  yes,  no,  0,  1894.738,  0.20,  0.00,  0.60,  0.10,  -0.50,  0.10,  0 
 vs,  yes,  yes,  1,  2530.134,  0.60,  0.10,  0.50,  0.27,  -0.60,  0.37,  0 
 vs,  yes,  yes,  1,  2789.500,  0.50,  0.10,  0.60,  -0.32,  -0.70,  -0.22,  0 
 vs,  yes,  yes,  1,  1750.304,  0.50,  0.40,  0.50,  -0.45,  -0.60,  -0.05,  0 
 vs,  no,  no,  1,  3847.453,  0.80,  0.05,  0.60,  0.36,  -0.50,  0.41,  0 
 vs,  no,  no,  1,  2334.570,  0.40,  0.25,  0.70,  0.09,  -0.60,  0.34,  0 
 vs,  yes,  yes,  1,  1281.221,  0.50,  0.20,  0.60,  0.15,  -0.60,  0.35,  0 
 vs,  yes,  yes,  1,  1446.254,  0.50,  0.30,  0.70,  0.10,  -0.50,  0.40,  0 
 vs,  yes,  yes,  1,  1420.632,  0.60,  0.10,  0.50,  0.27,  -0.60,  0.37,  0 
 vs,  yes,  yes,  1,  699.680,  0.40,  0.35,  0.60,  -0.14,  -0.70,  0.21,  0 
 vs,  no,  no,  1,  2503.173,  0.40,  0.40,  0.50,  -0.33,  -0.60,  0.07,  0 
 vs,  no,  yes,  0,  707.239,  0.50,  0.20,  0.50,  -0.35,  -0.60,  -0.15,  0 
 vs,  no,  no,  1,  2421.532,  0.50,  0.10,  0.60,  0.20,  -0.70,  0.30,  0 
 vs,  yes,  yes,  1,  1668.253,  0.50,  0.10,  0.70,  -0.30,  -0.70,  -0.20,  0 
